#,Date-Time (EST),Ch: 1 - Temperature   (°C),Button Down,Button Up,Host Connected,End of File
1,06/04/2021 13:09:55,32.00,,,,
2,06/04/2021 13:10:55,32.26,,,,
3,06/04/2021 13:11:55,32.86,,,,
4,06/04/2021 13:12:55,33.33,,,,
5,06/04/2021 13:13:55,32.17,,,,
6,06/04/2021 13:14:55,31.23,,,,
7,06/04/2021 13:15:55,30.24,,,,
8,06/04/2021 13:16:55,29.38,,,,
9,06/04/2021 13:17:55,28.70,,,,
10,06/04/2021 13:18:55,28.05,,,,
11,06/04/2021 13:19:55,27.54,,,,
12,06/04/2021 13:20:55,27.15,,,,
13,06/04/2021 13:21:55,26.85,,,,
14,06/04/2021 13:22:55,26.64,,,,
15,06/04/2021 13:23:55,26.38,,,,
16,06/04/2021 13:24:55,26.12,,,,
17,06/04/2021 13:25:55,25.87,,,,
18,06/04/2021 13:26:55,25.69,,,,
19,06/04/2021 13:27:55,25.48,,,,
20,06/04/2021 13:28:55,25.48,,,,
21,06/04/2021 13:29:55,25.39,,,,
22,06/04/2021 13:30:55,25.22,,,,
23,06/04/2021 13:31:55,25.14,,,,
24,06/04/2021 13:32:55,24.97,,,,
25,06/04/2021 13:33:55,24.88,,,,
26,06/04/2021 13:34:55,24.75,,,,
27,06/04/2021 13:35:55,24.71,,,,
28,06/04/2021 13:36:55,24.66,,,,
29,06/04/2021 13:37:55,24.62,,,,
30,06/04/2021 13:38:55,24.62,,,,
31,06/04/2021 13:39:55,24.54,,,,
32,06/04/2021 13:40:55,24.54,,,,
33,06/04/2021 13:41:55,24.54,,,,
34,06/04/2021 13:42:55,24.54,,,,
35,06/04/2021 13:43:55,24.58,,,,
36,06/04/2021 13:44:55,24.58,,,,
37,06/04/2021 13:45:55,24.54,,,,
38,06/04/2021 13:46:55,24.54,,,,
39,06/04/2021 13:47:55,24.58,,,,
40,06/04/2021 13:48:55,24.58,,,,
41,06/04/2021 13:49:55,24.54,,,,
42,06/04/2021 13:50:55,24.62,,,,
43,06/04/2021 13:51:55,24.62,,,,
44,06/04/2021 13:52:55,24.66,,,,
45,06/04/2021 13:53:55,24.66,,,,
46,06/04/2021 13:54:55,24.62,,,,
47,06/04/2021 13:55:55,24.62,,,,
48,06/04/2021 13:56:55,24.58,,,,
49,06/04/2021 13:57:55,24.54,,,,
50,06/04/2021 13:58:55,24.58,,,,
51,06/04/2021 13:59:55,24.49,,,,
52,06/04/2021 14:00:55,24.45,,,,
53,06/04/2021 14:01:55,24.45,,,,
54,06/04/2021 14:02:55,24.41,,,,
55,06/04/2021 14:03:55,24.45,,,,
56,06/04/2021 14:04:55,24.45,,,,
57,06/04/2021 14:05:55,24.41,,,,
58,06/04/2021 14:06:55,24.41,,,,
59,06/04/2021 14:07:55,24.41,,,,
60,06/04/2021 14:08:55,24.36,,,,
61,06/04/2021 14:09:55,24.41,,,,
62,06/04/2021 14:10:55,24.41,,,,
63,06/04/2021 14:11:55,24.45,,,,
64,06/04/2021 14:12:55,24.41,,,,
65,06/04/2021 14:13:55,24.45,,,,
66,06/04/2021 14:14:55,24.49,,,,
67,06/04/2021 14:15:55,24.49,,,,
68,06/04/2021 14:16:55,24.54,,,,
69,06/04/2021 14:17:55,24.58,,,,
70,06/04/2021 14:18:55,24.54,,,,
71,06/04/2021 14:19:55,24.54,,,,
72,06/04/2021 14:20:55,24.58,,,,
73,06/04/2021 14:21:55,24.58,,,,
74,06/04/2021 14:22:55,24.62,,,,
75,06/04/2021 14:23:55,24.62,,,,
76,06/04/2021 14:24:55,24.66,,,,
77,06/04/2021 14:25:55,24.66,,,,
78,06/04/2021 14:26:55,24.75,,,,
79,06/04/2021 14:27:55,24.79,,,,
80,06/04/2021 14:28:55,24.84,,,,
81,06/04/2021 14:29:55,24.92,,,,
82,06/04/2021 14:30:55,24.97,,,,
83,06/04/2021 14:31:55,25.01,,,,
84,06/04/2021 14:32:55,25.01,,,,
85,06/04/2021 14:33:55,25.05,,,,
86,06/04/2021 14:34:55,25.09,,,,
87,06/04/2021 14:35:55,25.09,,,,
88,06/04/2021 14:36:55,24.97,,,,
89,06/04/2021 14:37:55,24.88,,,,
90,06/04/2021 14:38:55,24.92,,,,
91,06/04/2021 14:39:55,24.92,,,,
92,06/04/2021 14:40:55,24.92,,,,
93,06/04/2021 14:41:55,24.97,,,,
94,06/04/2021 14:42:55,24.97,,,,
95,06/04/2021 14:43:55,24.84,,,,
96,06/04/2021 14:44:55,24.79,,,,
97,06/04/2021 14:45:55,24.79,,,,
98,06/04/2021 14:46:55,24.79,,,,
99,06/04/2021 14:47:55,24.71,,,,
100,06/04/2021 14:48:55,24.75,,,,
101,06/04/2021 14:49:55,24.79,,,,
102,06/04/2021 14:50:55,24.79,,,,
103,06/04/2021 14:51:55,24.88,,,,
104,06/04/2021 14:52:55,24.97,,,,
105,06/04/2021 14:53:55,24.97,,,,
106,06/04/2021 14:54:55,24.92,,,,
107,06/04/2021 14:55:55,24.92,,,,
108,06/04/2021 14:56:55,24.92,,,,
109,06/04/2021 14:57:55,24.88,,,,
110,06/04/2021 14:58:55,24.88,,,,
111,06/04/2021 14:59:55,24.92,,,,
112,06/04/2021 15:00:55,24.92,,,,
113,06/04/2021 15:01:55,24.97,,,,
114,06/04/2021 15:02:55,24.97,,,,
