#,Date-Time (EST),Ch: 1 - Temperature   (°C),Host Connected,End of File
1,06/03/2021 09:47:05,21.62,,
2,06/03/2021 09:48:05,22.65,,
3,06/03/2021 09:49:05,22.65,,
4,06/03/2021 09:50:05,22.56,,
5,06/03/2021 09:51:05,22.48,,
6,06/03/2021 09:52:05,22.91,,
7,06/03/2021 09:53:05,23.16,,
8,06/03/2021 09:54:05,23.51,,
9,06/03/2021 09:55:05,23.85,,
10,06/03/2021 09:56:05,24.45,,
11,06/03/2021 09:57:05,25.01,,
12,06/03/2021 09:58:05,25.52,,
13,06/03/2021 09:59:05,25.87,,
14,06/03/2021 10:00:05,26.30,,
15,06/03/2021 10:01:05,26.64,,
16,06/03/2021 10:02:05,26.90,,
17,06/03/2021 10:03:05,27.11,,
18,06/03/2021 10:04:05,27.54,,
19,06/03/2021 10:05:05,27.97,,
20,06/03/2021 10:06:05,28.10,,
21,06/03/2021 10:07:05,28.10,,
22,06/03/2021 10:08:05,27.97,,
23,06/03/2021 10:09:05,27.58,,
24,06/03/2021 10:10:05,27.45,,
25,06/03/2021 10:11:05,27.24,,
26,06/03/2021 10:12:05,27.11,,
27,06/03/2021 10:13:05,26.77,,
28,06/03/2021 10:14:05,26.38,,
29,06/03/2021 10:15:05,26.30,,
30,06/03/2021 10:16:05,25.91,,
31,06/03/2021 10:17:05,25.31,,
32,06/03/2021 10:18:05,25.65,,
33,06/03/2021 10:19:05,26.38,,
34,06/03/2021 10:20:05,26.21,,
35,06/03/2021 10:21:05,26.12,,
36,06/03/2021 10:22:05,26.04,,
37,06/03/2021 10:23:05,25.95,,
38,06/03/2021 10:24:05,25.95,,
39,06/03/2021 10:25:05,25.87,,
40,06/03/2021 10:26:05,25.82,,
41,06/03/2021 10:27:05,25.95,,
42,06/03/2021 10:28:05,25.95,,
43,06/03/2021 10:29:05,25.99,,
44,06/03/2021 10:30:05,25.87,,
45,06/03/2021 10:31:05,25.87,,
46,06/03/2021 10:32:05,26.04,,
47,06/03/2021 10:33:05,26.08,,
48,06/03/2021 10:34:05,26.17,,
49,06/03/2021 10:35:05,26.21,,
50,06/03/2021 10:36:05,26.12,,
51,06/03/2021 10:37:05,25.95,,
52,06/03/2021 10:38:05,25.74,,
53,06/03/2021 10:39:05,25.57,,
54,06/03/2021 10:40:05,25.78,,
55,06/03/2021 10:41:05,26.42,,
56,06/03/2021 10:42:05,26.42,,
57,06/03/2021 10:43:05,26.30,,
58,06/03/2021 10:44:05,26.17,,
59,06/03/2021 10:45:05,25.99,,
60,06/03/2021 10:46:05,25.82,,
61,06/03/2021 10:47:05,25.65,,
62,06/03/2021 10:48:05,25.39,,
63,06/03/2021 10:49:05,25.09,,
64,06/03/2021 10:50:05,24.79,,
65,06/03/2021 10:51:05,24.62,,
66,06/03/2021 10:52:05,24.54,,
67,06/03/2021 10:53:05,24.45,,
68,06/03/2021 10:54:05,24.49,,
69,06/03/2021 10:55:05,24.84,,
70,06/03/2021 10:56:05,25.69,,
71,06/03/2021 10:57:05,26.08,,
72,06/03/2021 10:58:05,26.64,,
73,06/03/2021 10:59:05,25.91,,
74,06/03/2021 11:00:05,25.14,,
75,06/03/2021 11:01:05,24.49,,
76,06/03/2021 11:02:05,24.02,,
77,06/03/2021 11:03:05,23.68,,
78,06/03/2021 11:04:05,23.34,,
79,06/03/2021 11:05:05,22.95,,
80,06/03/2021 11:06:05,22.65,,
81,06/03/2021 11:07:05,22.39,,
82,06/03/2021 11:08:05,22.18,,
83,06/03/2021 11:09:05,22.05,,
84,06/03/2021 11:10:05,21.92,,
85,06/03/2021 11:11:05,21.79,,
86,06/03/2021 11:12:05,21.66,,
87,06/03/2021 11:13:05,21.62,,
88,06/03/2021 11:14:05,21.45,,
89,06/03/2021 11:15:05,21.36,,
90,06/03/2021 11:16:05,21.32,,
91,06/03/2021 11:17:05,21.23,,
92,06/03/2021 11:18:05,21.19,,
93,06/03/2021 11:19:05,21.19,,
94,06/03/2021 11:20:05,21.10,,
95,06/03/2021 11:21:05,21.19,,
96,06/03/2021 11:22:05,21.23,,
97,06/03/2021 11:23:05,21.23,,
98,06/03/2021 11:24:05,21.32,,
99,06/03/2021 11:25:05,21.36,,
100,06/03/2021 11:26:05,21.36,,
101,06/03/2021 11:27:05,21.49,,
102,06/03/2021 11:28:05,21.49,,
103,06/03/2021 11:29:05,21.49,,
104,06/03/2021 11:30:05,21.66,,
105,06/03/2021 11:31:05,21.66,,
106,06/03/2021 11:32:05,21.83,,
107,06/03/2021 11:33:05,21.88,,
108,06/03/2021 11:34:05,21.88,,
109,06/03/2021 11:35:05,21.92,,
110,06/03/2021 11:36:05,22.01,,
111,06/03/2021 11:37:05,22.05,,
112,06/03/2021 11:38:05,22.01,,
113,06/03/2021 11:39:05,21.92,,
114,06/03/2021 11:40:05,22.01,,
115,06/03/2021 11:41:05,22.01,,
116,06/03/2021 11:42:05,22.05,,
117,06/03/2021 11:43:05,22.09,,
118,06/03/2021 11:44:05,22.13,,
119,06/03/2021 11:45:05,22.13,,
120,06/03/2021 11:46:05,22.13,,
121,06/03/2021 11:47:05,22.18,,
122,06/03/2021 11:48:05,22.18,,
123,06/03/2021 11:49:05,22.18,,
124,06/03/2021 11:50:05,22.09,,
125,06/03/2021 11:51:05,22.09,,
126,06/03/2021 11:52:05,22.09,,
127,06/03/2021 11:53:05,22.01,,
128,06/03/2021 11:54:05,22.01,,
129,06/03/2021 11:55:05,21.96,,
130,06/03/2021 11:56:05,22.01,,
131,06/03/2021 11:57:05,22.01,,
132,06/03/2021 11:58:05,22.01,,
133,06/03/2021 11:59:05,21.92,,
134,06/03/2021 12:00:05,21.96,,
135,06/03/2021 12:01:05,22.01,,
136,06/03/2021 12:02:05,21.88,,
137,06/03/2021 12:03:05,21.88,,
138,06/03/2021 12:04:05,21.83,,
