#,Date-Time (EST),Ch: 1 - Temperature   (°C),Button Down,Button Up,Host Connected,End of File
1,06/13/2021 08:39:51,25.22,,,,
2,06/13/2021 08:40:51,27.11,,,,
3,06/13/2021 08:41:51,28.35,,,,
4,06/13/2021 08:42:51,29.47,,,,
5,06/13/2021 08:43:51,29.04,,,,
6,06/13/2021 08:44:51,28.48,,,,
7,06/13/2021 08:45:51,27.97,,,,
8,06/13/2021 08:46:51,27.58,,,,
9,06/13/2021 08:47:51,27.37,,,,
10,06/13/2021 08:48:51,26.94,,,,
11,06/13/2021 08:49:51,26.60,,,,
12,06/13/2021 08:50:51,26.38,,,,
13,06/13/2021 08:51:51,26.21,,,,
14,06/13/2021 08:52:51,26.12,,,,
15,06/13/2021 08:53:51,26.04,,,,
16,06/13/2021 08:54:51,26.08,,,,
17,06/13/2021 08:55:51,26.08,,,,
18,06/13/2021 08:56:51,25.95,,,,
19,06/13/2021 08:57:51,25.87,,,,
20,06/13/2021 08:58:51,25.78,,,,
21,06/13/2021 08:59:51,25.65,,,,
22,06/13/2021 09:00:51,25.61,,,,
23,06/13/2021 09:01:51,25.65,,,,
24,06/13/2021 09:02:51,25.61,,,,
25,06/13/2021 09:03:51,25.48,,,,
26,06/13/2021 09:04:51,25.44,,,,
27,06/13/2021 09:05:51,25.35,,,,
28,06/13/2021 09:06:51,25.27,,,,
29,06/13/2021 09:07:51,25.27,,,,
30,06/13/2021 09:08:51,25.35,,,,
31,06/13/2021 09:09:51,25.39,,,,
32,06/13/2021 09:10:51,25.39,,,,
33,06/13/2021 09:11:51,25.44,,,,
34,06/13/2021 09:12:51,25.48,,,,
35,06/13/2021 09:13:51,25.39,,,,
36,06/13/2021 09:14:51,25.52,,,,
37,06/13/2021 09:15:51,25.57,,,,
38,06/13/2021 09:16:51,25.57,,,,
39,06/13/2021 09:17:51,25.57,,,,
40,06/13/2021 09:18:51,25.57,,,,
41,06/13/2021 09:19:51,25.52,,,,
42,06/13/2021 09:20:51,25.61,,,,
43,06/13/2021 09:21:51,25.61,,,,
44,06/13/2021 09:22:51,25.65,,,,
45,06/13/2021 09:23:51,25.78,,,,
46,06/13/2021 09:24:51,25.87,,,,
47,06/13/2021 09:25:51,25.91,,,,
48,06/13/2021 09:26:51,25.95,,,,
49,06/13/2021 09:27:51,25.99,,,,
50,06/13/2021 09:28:51,25.99,,,,
51,06/13/2021 09:29:51,26.08,,,,
52,06/13/2021 09:30:51,26.08,,,,
53,06/13/2021 09:31:51,26.21,,,,
54,06/13/2021 09:32:51,26.34,,,,
55,06/13/2021 09:33:51,26.38,,,,
56,06/13/2021 09:34:51,26.38,,,,
57,06/13/2021 09:35:51,26.42,,,,
58,06/13/2021 09:36:51,26.42,,,,
59,06/13/2021 09:37:51,26.30,,,,
60,06/13/2021 09:38:51,26.30,,,,
61,06/13/2021 09:39:51,26.47,,,,
62,06/13/2021 09:40:51,26.51,,,,
63,06/13/2021 09:41:51,26.51,,,,
64,06/13/2021 09:42:51,26.47,,,,
65,06/13/2021 09:43:51,26.38,,,,
66,06/13/2021 09:44:51,26.21,,,,
67,06/13/2021 09:45:51,26.25,,,,
68,06/13/2021 09:46:51,26.21,,,,
69,06/13/2021 09:47:51,26.12,,,,
70,06/13/2021 09:48:51,26.04,,,,
71,06/13/2021 09:49:51,25.99,,,,
72,06/13/2021 09:50:51,26.04,,,,
73,06/13/2021 09:51:51,26.17,,,,
74,06/13/2021 09:52:51,26.25,,,,
75,06/13/2021 09:53:51,26.30,,,,
76,06/13/2021 09:54:51,26.42,,,,
77,06/13/2021 09:55:51,26.60,,,,
78,06/13/2021 09:56:51,26.68,,,,
79,06/13/2021 09:57:51,26.81,,,,
80,06/13/2021 09:58:51,26.90,,,,
81,06/13/2021 09:59:51,26.98,,,,
82,06/13/2021 10:00:51,27.11,,,,
83,06/13/2021 10:01:51,27.15,,,,
84,06/13/2021 10:02:51,27.20,,,,
85,06/13/2021 10:03:51,27.24,,,,
86,06/13/2021 10:04:51,27.24,,,,
87,06/13/2021 10:05:51,27.32,,,,
88,06/13/2021 10:06:51,27.37,,,,
89,06/13/2021 10:07:51,27.41,,,,
90,06/13/2021 10:08:51,27.54,,,,
91,06/13/2021 10:09:51,27.58,,,,
92,06/13/2021 10:10:51,27.58,,,,
93,06/13/2021 10:11:51,27.67,,,,
94,06/13/2021 10:12:51,27.71,,,,
95,06/13/2021 10:13:51,27.75,,,,
