ubox	unit	box	experiment	treatment	pend_in	pend_out	start	end	snap_type	start2	end2	snap_type2
1_48	1	48	cold_snap	Control	160	171	6/19/21 6:25	6/19/21 15:00	cold2			
1_51	1	51	cold_snap	Cold	158	169	6/17/21 5:57	6/17/21 15:00	cold2			
1_60	1	60	cold_snap	Control	158	169	6/17/21 6:00	6/17/21 15:00	cold2			
1_62	1	62	cold_snap	Cold	155	166	6/14/21 6:15	6/14/21 15:00	cold2			
1_72	1	72	cold_snap	Cold	158	169	6/17/21 6:05	6/17/21 15:00	cold2			
1_81	1	81	cold_snap	Control	156	167	6/15/21 6:12	6/15/21 15:00	cold2			
1_89	1	89	cold_snap	Cold	157	168	6/16/21 6:00	6/16/21 15:00	cold2			
1_91	1	91	cold_snap	Cold	158	169	6/17/21 6:10	6/17/21 15:00	cold2			
1_114	1	114	cold_snap	Control	157	168	6/16/21 6:00	6/16/21 15:00	cold2			
1_121	1	121	cold_snap	Control	158	169	6/15/21 6:00	6/15/21 15:00	cold2			
2_6	2	6	cold_snap	Cold	156	167	6/15/21 6:06	6/15/21 15:00	cold2			
2_7	2	7	cold_snap	Cold	155	166	6/14/21 6:21	6/14/21 15:00	cold2			
2_8	2	8	cold_snap	Control	157	168	6/16/21 6:10	6/16/21 15:00	cold2			
2_18	2	18	cold_snap	Control	154	165	6/13/21 6:09	6/13/21 15:00	cold2			
2_19	2	19	cold_snap	Control	155	166	6/14/21 6:29	6/14/21 15:00	cold2			
2_23	2	23	cold_snap	Cold	155	166	6/14/21 6:34	6/14/21 15:00	cold2			
2_44	2	44	cold_snap	Cold	155	166	6/14/21 6:43	6/14/21 15:00	cold2			
2_50	2	50	cold_snap	Control	159	170	6/18/21 6:15	6/18/21 15:00	cold2			
2_56	2	56	cold_snap	Cold	162	173	6/21/21 6:13	6/21/21 15:00	cold2			
2_62	2	62	cold_snap	Cold	160	171	6/19/21 6:45	6/19/21 15:00	cold2			
2_63	2	63	cold_snap	Control	155	166	6/14/21 6:52	6/14/21 15:00	cold2			
2_70	2	70	cold_snap	Cold	155	166	6/14/21 7:16	6/14/21 15:00	cold2			
2_72	2	72	cold_snap	Cold	157	168	6/16/21 6:35	6/16/21 15:00	cold2			
2_82	2	82	cold_snap	Control	157	168	6/16/21 6:45	6/16/21 15:00	cold2			
2_92	2	92	cold_snap	Control	157	168	6/16/21 6:20	6/16/21 15:00	cold2			
2_96	2	96	cold_snap	Control	159	170	6/18/21 6:28	6/18/21 15:00	cold2			
2_97	2	97	cold_snap	Cold	163	174	6/22/21 6:15	6/22/21 15:00	cold2			
2_120	2	120	cold_snap	Control	155	166	6/14/21 7:04	6/14/21 15:00	cold2			
2_123	2	123	cold_snap	Cold	156	167	6/15/21 6:18	6/15/21 15:00	cold2			
